categoria,año,num_especies
Anfibios,2011,538
Anfibios,2012,538
Anfibios,2013,538
Anfibios,2014,624
Anfibios,2015,588
Anfibios,2016,588
Anfibios,2017,603
Anfibios,2018,622
Anfibios,2019,626
Anfibios,2020,636
Angiospermas y gimnospermas,2011,19000
Angiospermas y gimnospermas,2012,19000
Angiospermas y gimnospermas,2013,19000
Angiospermas y gimnospermas,2014,19000
Angiospermas y gimnospermas,2015,19000
Angiospermas y gimnospermas,2016,19000
Angiospermas y gimnospermas,2017,19147
Angiospermas y gimnospermas,2018,19174
Angiospermas y gimnospermas,2019,19422
Angiospermas y gimnospermas,2020,19422
Aves,2011,1835
Aves,2012,1835
Aves,2013,1847
Aves,2014,1847
Aves,2015,1849
Aves,2016,1852
Aves,2017,1857
Aves,2018,1857
Aves,2019,1857
Aves,2020,1878
Crustaceos marinos,2011,NA
Crustaceos marinos,2012,NA
Crustaceos marinos,2013,NA
Crustaceos marinos,2014,NA
Crustaceos marinos,2015,NA
Crustaceos marinos,2016,NA
Crustaceos marinos,2017,NA
Crustaceos marinos,2018,NA
Crustaceos marinos,2019,NA
Crustaceos marinos,2020,388
Mamiferos,2011,512
Mamiferos,2012,519
Mamiferos,2013,524
Mamiferos,2014,525
Mamiferos,2015,537
Mamiferos,2016,545
Mamiferos,2017,551
Mamiferos,2018,559
Mamiferos,2019,559
Mamiferos,2020,569
Peces continentales,2011,1010
Peces continentales,2012,1064
Peces continentales,2013,1064
Peces continentales,2014,1064
Peces continentales,2015,1064
Peces continentales,2016,1064
Peces continentales,2017,1064
Peces continentales,2018,1141
Peces continentales,2019,1141
Peces continentales,2020,1141
Peces marinos,2011,NA
Peces marinos,2012,NA
Peces marinos,2013,NA
Peces marinos,2014,NA
Peces marinos,2015,NA
Peces marinos,2016,NA
Peces marinos,2017,NA
Peces marinos,2018,NA
Peces marinos,2019,1090
Peces marinos,2020,942
Reptiles,2011,421
Reptiles,2012,421
Reptiles,2013,446
Reptiles,2014,446
Reptiles,2015,452
Reptiles,2016,455
Reptiles,2017,467
Reptiles,2018,469
Reptiles,2019,474
Reptiles,2020,488
