sistema,nombre,ubicacion,superficie
Islas e Islotes,Isla Lobos de Tierra,Zona marina,18278.9
Islas e Islotes,"Isla Chincha Norte, Centro y Sur",Zona marina,9410.91
Islas e Islotes,Islas Guanape Norte y Guanape Sur,Zona marina,8487.36
Islas e Islotes,Islas Lobos de Afuera,Zona marina,8265.13
Islas e Islotes,Islas Macabi,Zona marina,8015.76
Islas e Islotes,"Isla Ballestas Norte, Centro y Sur",Zona marina,7197.01
Islas e Islotes,Islote Grupo de Pescadores,Zona marina,6913.23
Islas e Islotes,Isla Santa,Zona marina,6662.71
Islas e Islotes,Islote Corcovado,Zona marina,5228.21
Islas e Islotes,Islas Cavinzas e Islotes Palominos,Zona marina,5146.88
Islas e Islotes,Isla Chao,Zona marina,4495.28
Islas e Islotes,Islas Pachacamac,Zona marina,4289.88
Islas e Islotes,Isla Asia,Zona marina,3929.58
Islas e Islotes,Islote Don Martin,Zona marina,3312.02
Puntas Guaneras,"Punta Salinas, Isla Huampanu e Isla Mazorca",Lima,14207.8
Puntas Guaneras,Punta Atico,Arequipa,3467.69
Puntas Guaneras,Punta Coles,Moquegua,3365.14
Puntas Guaneras,Punta San Juan,Ica,2968.8
Puntas Guaneras,Punta Culebras,Ancash,2953.89
Puntas Guaneras,Punta Hornillos,Arequipa,2684.19
Puntas Guaneras,Punta Lomitas,Ica,2465.85
Puntas Guaneras,Punta La Chira,Arequipa,2436.68
Puntas Guaneras,Punta Lomas,Arequipa,2404.26
Puntas Guaneras,Punta Colorado,Ancash,2209.86
Puntas Guaneras,Punta La Litera,Lima,2036.45
